run_id,section,phase,subphase,page_or_chunk,t_start,t_end,duration_s,rows,notes
20251110_055341,umore,checkpoint,previous,,2025-11-10T04:53:42.418829+00:00,2025-11-10T04:53:42.418829+00:00,1e-06,0,last_modified_remote=2025-11-09T23:05:13.418Z
20251110_055341,umore,fetch,page,1,2025-11-10T04:53:43.968668+00:00,2025-11-10T04:53:43.968668+00:00,2e-06,50,sec=1.458 updatedAfter=2025-11-09T23:05:13.418Z
20251110_055341,umore,fetch,page,2,2025-11-10T04:53:44.863959+00:00,2025-11-10T04:53:44.863959+00:00,1e-06,50,sec=0.854 updatedAfter=2025-11-09T23:05:13.418Z
20251110_055341,umore,fetch,page,3,2025-11-10T04:53:45.898960+00:00,2025-11-10T04:53:45.898960+00:00,0.0,50,sec=1.019 updatedAfter=2025-11-09T23:05:13.418Z
20251110_055341,umore,fetch,page,4,2025-11-10T04:53:46.973141+00:00,2025-11-10T04:53:46.973141+00:00,1e-06,50,sec=1.068 updatedAfter=2025-11-09T23:05:13.418Z
20251110_055341,umore,fetch,page,5,2025-11-10T04:53:48.079871+00:00,2025-11-10T04:53:48.079871+00:00,1e-06,50,sec=1.098 updatedAfter=2025-11-09T23:05:13.418Z
20251110_055341,umore,fetch,page,6,2025-11-10T04:53:48.970602+00:00,2025-11-10T04:53:48.970602+00:00,1e-06,50,sec=0.885 updatedAfter=2025-11-09T23:05:13.418Z
20251110_055341,umore,fetch,page,7,2025-11-10T04:53:49.862739+00:00,2025-11-10T04:53:49.862739+00:00,1e-06,50,sec=0.872 updatedAfter=2025-11-09T23:05:13.418Z
20251110_055341,umore,fetch,page,8,2025-11-10T04:53:50.783400+00:00,2025-11-10T04:53:50.783400+00:00,1e-06,50,sec=0.888 updatedAfter=2025-11-09T23:05:13.418Z
20251110_055341,umore,fetch,page,9,2025-11-10T04:53:51.686719+00:00,2025-11-10T04:53:51.686719+00:00,2e-06,50,sec=0.896 updatedAfter=2025-11-09T23:05:13.418Z
20251110_055341,umore,fetch,page,10,2025-11-10T04:53:52.522177+00:00,2025-11-10T04:53:52.522177+00:00,1e-06,39,sec=0.826 updatedAfter=2025-11-09T23:05:13.418Z
20251110_055341,umore,fetch,page,11,2025-11-10T04:54:44.546869+00:00,2025-11-10T04:54:44.546869+00:00,2e-06,0,sec=52.016 updatedAfter=2025-11-09T23:05:13.418Z
20251110_055341,umore,fetch,summary,,2025-11-10T04:54:44.567867+00:00,2025-11-10T04:54:44.567867+00:00,1e-06,489,pages=11 sec=62.084297
20251110_055341,umore,build_payload,,,2025-11-10T04:54:44.616736+00:00,2025-11-10T04:54:44.616736+00:00,0.039405,489,skipped_no_time=0
20251110_055341,umore,insert,chunk,1,2025-11-10T04:54:44.626036+00:00,2025-11-10T04:54:44.626036+00:00,0.004602,489,
20251110_055341,umore,checkpoint,updated,,2025-11-10T04:54:44.633282+00:00,2025-11-10T04:54:44.633282+00:00,1e-06,2,last_modified_remote=2025-11-10T04:35:42.767Z
20251110_055341,umore,section_end,,,2025-11-10T04:54:44.636323+00:00,2025-11-10T04:54:44.636323+00:00,1e-06,2,attempted=489
20251110_055341,ansia,checkpoint,previous,,2025-11-10T04:54:44.640283+00:00,2025-11-10T04:54:44.640283+00:00,1e-06,0,last_modified_remote=2025-06-16T09:49:01.580Z
20251110_055341,ansia,fetch,page,1,2025-11-10T04:54:45.499577+00:00,2025-11-10T04:54:45.499577+00:00,1e-06,7,sec=0.852 updatedAfter=2025-06-16T09:49:01.580Z
20251110_055341,ansia,fetch,page,2,2025-11-10T04:54:46.456770+00:00,2025-11-10T04:54:46.456770+00:00,2e-06,0,sec=0.949 updatedAfter=2025-06-16T09:49:01.580Z
20251110_055341,ansia,fetch,summary,,2025-11-10T04:54:46.556801+00:00,2025-11-10T04:54:46.556801+00:00,1e-06,7,pages=2 sec=1.912502
20251110_055341,ansia,build_payload,,,2025-11-10T04:54:46.571018+00:00,2025-11-10T04:54:46.571018+00:00,0.008948,7,skipped_no_time=0
20251110_055341,ansia,insert,chunk,1,2025-11-10T04:54:46.582468+00:00,2025-11-10T04:54:46.582468+00:00,0.000703,7,
20251110_055341,ansia,checkpoint,updated,,2025-11-10T04:54:46.589533+00:00,2025-11-10T04:54:46.589533+00:00,1e-06,0,last_modified_remote=2025-06-16T09:49:01.580Z
20251110_055341,ansia,section_end,,,2025-11-10T04:54:46.594024+00:00,2025-11-10T04:54:46.594024+00:00,2e-06,0,attempted=7
20251110_055341,_batch_,summary,,,2025-11-10T04:54:46.598446+00:00,2025-11-10T04:54:46.598446+00:00,64.274545,2,batch completed
